center_x,center_y,center_z,eligible_three_frame_input,even_label,file,frame,length_voxels,odd_label
29.0,56.0,14.0,False,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/1.tif,1,12.96148139681572,1
36.5,71.0,20.5,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/1.tif,2,22.22611077089287,3
48.5,71.0,15.5,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/1.tif,3,9.899494936611665,5
24.0,52.0,1.5,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/1.tif,4,23.345235059857504,7
40.5,76.5,11.0,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/1.tif,4,14.071247279470288,9
59.5,51.5,14.5,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/1.tif,6,19.261360284258224,11
35.5,60.0,25.0,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/1.tif,7,23.93741840717165,13
64.0,61.0,11.0,True,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,6,10.198039027185569,1
17.0,24.0,25.5,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,7,24.515301344262525,3
80.5,25.0,9.0,True,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,8,11.357816691600547,19
39.5,66.0,12.0,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,9,11.0,5
69.0,29.0,25.5,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,9,15.0,7
85.0,80.5,25.0,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,9,11.0,9
82.0,87.359477124183,14.5,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,11,23.39656487932406,11
77.0,78.5,18.0,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,14,19.209372712298546,13
23.0,68.0,20.5,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,18,21.840329667841555,15
48.5,26.0,6.0,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,18,25.317977802344327,17
79.0,33.0,31.5,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/10.tif,18,20.024984394500787,21
59.5,92.0,8.5,False,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/11.tif,1,17.26267650163207,1
32.5,27.5,32.0,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/11.tif,4,19.6468827043885,3
62.0,42.0,12.0,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/11.tif,11,14.560219778561036,5
8.910112359550562,34.0,3.0,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/11.tif,14,14.708736379893255,7
12.0,47.0,13.5,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/11.tif,16,11.180339887498949,15
63.0,58.5,1.5,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/11.tif,19,15.033296378372908,9
16.5,48.5,17.0,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/11.tif,20,19.6468827043885,11
38.5,38.0,17.5,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/11.tif,20,15.556349186104045,13
65.0,38.0,20.0,True,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,3,10.198039027185569,1
48.0,55.0,18.5,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,5,22.293496809607955,3
37.0,7.058411214953271,5.0,True,6,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,8,19.35489029473561,5
19.5,61.0,2.0,True,8,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,10,27.51363298439521,7
49.5,52.5,2.5,True,10,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,10,13.379088160259652,9
62.5,73.5,15.5,True,12,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,10,17.74823934929885,11
48.0,33.0,13.0,True,14,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,11,24.49489742783178,13
28.0,24.5,7.5,True,16,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,12,14.352700094407323,15
91.0,40.5,16.0,True,18,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,13,21.470910553583888,17
57.0,6.207964601769912,14.5,True,26,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,13,10.12512369532936,25
36.0,42.0,33.80696202531645,True,20,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,17,11.428243558885649,19
60.5,62.5,8.0,True,22,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,18,15.811388300841896,21
84.5,55.5,13.5,True,24,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/12.tif,19,19.672315572906,23
75.5,12.0,5.650485436893204,False,2,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,1,18.272301202471954,1
34.0,67.5,16.0,True,4,DARE3d_data_190326/Gastruloid_241025/trainingset/movie1/label/13.tif,2,12.68857754044952,3
