name,version,location,direct_url_json
absl-py,2.4.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
aiohappyeyeballs,2.6.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
aiohttp,3.14.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
aiosignal,1.4.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
alabaster,1.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
alembic,1.18.5,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
annotated-doc,0.0.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
annotated-types,0.7.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
antlr4-python3-runtime,4.9.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
anyio,4.14.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
app-model,0.3.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
appdirs,1.4.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
asciitree,0.3.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
asttokens,3.0.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
async-timeout,5.0.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
attrs,26.1.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
augmend,0.1.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
autopage,0.6.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
babel,2.18.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
backports.strenum,1.3.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
beautifulsoup4,4.15.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
bermuda,0.1.7,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
bleach,6.4.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
blinker,1.9.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
build,1.5.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cachetools,7.1.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cachey,0.2.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
certifi,2026.6.17,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cffi,2.0.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cfgv,3.5.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
charset-normalizer,3.4.7,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
click,8.4.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cliff,4.14.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cloudpickle,3.1.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cmaes,0.13.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cmd2,3.5.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
colorama,0.4.6,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
colorlog,6.10.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
comm,0.2.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
contourpy,1.3.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cryptography,48.0.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
cycler,0.12.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
dare3d,0.0.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,"{""dir_info"": {""editable"": true}, ""url"": ""file:///C:/Users/ruppr/Documents/Claudesession/DARE3d_withnapari_qazi280626""}"
dask,2024.8.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
databricks-sdk,0.119.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
debugpy,1.8.21,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
decorator,5.3.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
defusedxml,0.7.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
distlib,0.4.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
docker,7.1.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
docstring_parser,0.18.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
docutils,0.21.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
einops,0.8.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
exceptiongroup,1.3.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
executing,2.2.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
fastapi,0.138.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
fasteners,0.20,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
fastjsonschema,2.21.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
filelock,3.29.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
Flask,3.1.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
flask-cors,6.0.5,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
flexcache,0.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
flexparser,0.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
fonttools,4.63.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
freetype-py,2.5.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
frozenlist,1.8.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
fsspec,2026.4.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
funcsigs,1.0.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
gitdb,4.0.12,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
GitPython,3.1.50,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
google-auth,2.55.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
gputools,0.3.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
graphene,3.4.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
graphql-core,3.2.11,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
graphql-relay,3.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
greenlet,3.5.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
grpcio,1.81.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
h11,0.16.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
HeapDict,1.0.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hf-xet,1.5.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hsluv,5.0.4,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
httpcore,1.0.9,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
httpx,0.28.1,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
huey,3.0.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
huggingface_hub,1.21.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hydra-colorlog,1.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hydra-core,1.3.2,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
hydra-optuna-sweeper,1.2.0,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
identify,2.6.19,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
idna,3.18,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
ImageIO,2.37.3,C:\Users\ruppr\.conda\envs\dare3d-v2.0\lib\site-packages,
