component_id_before_filter,centroid_t,centroid_z,centroid_y,centroid_x,rounded_t,rounded_z,rounded_y,rounded_x,voxel_count,mean_probability,weighted_probability,was_first_component_filter_exception,marker_z_start,marker_z_stop,marker_y_start,marker_y_stop,marker_x_start,marker_x_stop,expected_marker_voxels,saved_pred_dominant_label,saved_pred_dominant_voxels,saved_fp_voxels_in_expected_box,render_visible,classification_from_saved_render
1,2.0,5.0,622.0434782608696,192.56521739130434,2,5,622,193,69,0.8146229619565217,0.008736267294390976,True,1,9,618,626,189,197,512,1,512,512,True,false_positive
3,2.0,4.434372049102928,133.20585457979226,288.7639282341832,2,4,133,289,6354,0.9803380344812322,0.9681513110737104,False,0,8,129,137,285,293,512,32,512,0,True,matched
4,2.0,4.36455525606469,572.4093665768194,294.2240566037736,2,4,572,294,8904,0.9848948681772237,1.36299794447595,False,0,8,568,576,290,298,512,70,512,0,True,matched
6,2.0,4.640969162995595,821.046255506608,442.16299559471366,2,5,821,442,1362,0.9168340876238987,0.19408324036049732,False,1,9,817,825,438,446,512,88,512,0,True,matched
7,2.0,4.49424405218726,384.4689178818112,611.014581734459,2,4,384,611,3909,0.9630839888718342,0.5851268244328737,False,0,8,380,388,607,615,512,90,512,0,True,matched
8,2.0,4.407041648776299,280.33061399742377,638.1382567625591,2,4,280,638,6987,0.9775667366627308,1.061591258668125,False,0,8,276,284,634,642,512,1,512,512,True,false_positive
9,2.999668049792531,3.9349377593360995,7.760663900414937,652.8527800829876,3,4,8,653,6025,0.9727236773858922,0.910891634422761,False,0,8,4,12,649,657,512,112,512,0,True,matched
10,2.747265625,4.516796875,45.295703125,913.980078125,3,5,45,914,2560,0.9524421691894531,0.37896469808917194,False,1,9,41,49,910,918,512,97,512,0,True,matched
11,2.239245283018868,4.497735849056604,544.9871698113208,974.086037735849,2,4,545,974,7950,0.9651384999017295,1.1925509531932355,False,0,8,541,549,970,978,512,76,512,0,True,matched
12,2.0,4.541358024691358,378.99876543209876,978.2166666666667,2,5,379,978,4860,0.9594702449845679,0.7247495514462743,False,1,9,375,383,974,982,512,115,512,0,True,matched
14,3.7157031924072474,4.47310900201323,217.48677020419902,83.2063560540696,4,4,217,83,6954,0.9644920386423281,1.0424458589696255,False,0,8,213,221,79,87,512,49,512,0,True,matched
15,3.782386726228462,4.439374601148692,403.4586790044671,239.326260370134,4,4,403,239,6268,0.9708758307324904,0.945829493956201,False,0,8,399,407,235,243,512,33,512,0,True,matched
19,3.0,4.463986115128725,614.37431298814,662.9216083309227,3,4,614,663,10371,0.9872319467294619,1.591329119372725,False,0,8,610,618,659,667,512,95,512,0,True,matched
20,3.9938222399362298,4.22977281785572,419.6115982463133,649.446392985253,4,4,420,649,5018,0.9769050169390195,0.761909119734738,False,0,8,416,424,645,653,512,7,512,0,True,matched
21,3.0116329794968735,4.64766613348844,269.7673404100625,885.3183074014833,3,5,270,885,6877,0.9734282555302094,1.0404546311535945,False,1,9,266,274,881,889,512,103,512,0,True,matched
22,4.134070742676553,4.75009116324298,423.72456545520845,58.164093837364774,4,5,424,58,8227,0.9622153285295368,1.230364929495177,False,1,9,420,428,54,62,512,84,512,0,True,matched
23,4.0,4.607647058823529,626.1011764705883,320.6435294117647,4,5,626,321,5100,0.9747739545036764,0.7726703863360561,False,1,9,622,630,317,325,512,20,512,0,True,matched
29,4.0,4.396816976127321,180.52201591511937,554.5384615384615,4,4,181,555,5655,0.9744469599635278,0.8564677005332192,False,0,8,177,185,551,559,512,85,512,0,True,matched
30,4.0,4.535017730496454,509.9552304964539,628.1192375886525,4,5,510,628,6768,0.9719348663979388,1.0223925753484497,False,1,9,506,514,624,632,512,89,512,0,True,matched
31,4.756424581005587,4.2861731843575415,249.53198324022347,698.4948324022347,5,4,250,698,7160,0.9727925050192039,1.0825635821876216,False,0,8,246,254,694,702,512,82,512,0,True,matched
32,4.036459246275197,4.77248028045574,403.61297107800175,735.9744084136722,4,5,404,736,5705,0.9632180858347941,0.8540837368399125,False,1,9,400,408,732,740,512,101,512,0,True,matched
33,4.0,4.35354273192111,63.2045288531775,979.162892622352,4,4,63,979,4107,0.9754632430149744,0.6226669101490978,False,0,8,59,67,975,983,512,17,512,0,True,matched
34,5.637989778534924,4.531175468483816,746.9120954003407,190.63594548551958,6,5,747,191,5870,0.9709500106473594,0.8858397148030066,False,1,9,743,751,187,195,512,100,512,0,True,matched
35,5.0,4.374760994263863,716.8293499043978,321.21606118546845,5,4,717,321,6276,0.9805221995249761,0.9564461882200872,False,0,8,713,721,317,325,512,81,512,0,True,matched
40,6.5242040994330575,4.553714202645733,348.75505160633816,32.792557057711875,7,5,349,33,6879,0.9755612359627126,1.0430377328067026,False,1,9,345,353,29,37,512,67,512,0,True,matched
41,6.0,4.402882205513785,163.515664160401,164.02882205513785,6,4,164,164,4788,0.9657190461505326,0.7186627145309313,False,0,8,160,168,160,168,512,114,512,0,True,matched
42,6.0,4.371127995324372,707.2659263588545,235.49503214494447,6,4,707,235,5133,0.9816793222165401,0.7831790877200654,False,0,8,703,711,231,239,512,26,512,0,True,matched
44,6.0,4.480180632212744,684.899147014551,399.1374811841445,6,4,685,399,5979,0.9803011712870046,0.910978757280174,False,0,8,681,689,395,403,512,46,512,0,True,matched
46,6.0,4.583517944173682,38.3167922020381,739.1182986264954,6,5,38,739,6771,0.976779489851019,1.027944153105836,False,1,9,34,42,735,743,512,77,512,0,True,matched
47,6.0,4.554674457429049,7.978714524207012,930.8635225375626,6,5,8,931,7188,0.9667964674196577,1.0800983392431918,False,1,9,4,12,927,935,512,104,512,0,True,matched
50,7.0,4.291215403128761,115.90894504612916,422.2053750501404,7,4,116,422,7479,0.9868547949884677,1.147141427079286,False,0,8,112,120,418,426,512,50,512,0,True,matched
51,7.5290227773695815,4.491427871662993,144.89884888562332,551.9441587068333,8,4,145,552,8166,0.9659961678950832,1.2260408885136236,False,0,8,141,149,548,556,512,102,512,0,True,matched
52,7.0,5.102362204724409,134.10123734533184,599.970753655793,7,5,134,600,2667,0.9417555715691789,0.39037445320668746,False,1,9,130,138,596,604,512,93,512,0,True,matched
53,7.0,4.435897435897436,402.6737588652482,852.1631205673759,7,4,403,852,5499,0.9764721959390343,0.8345719354379371,False,0,8,399,407,848,856,512,16,512,0,True,matched
54,7.460900473933649,4.226040021063718,376.66837809373357,899.5564770932069,7,4,377,900,7596,0.9682421772149815,1.1431129056158216,False,0,8,373,381,896,904,512,78,512,0,True,matched
57,8.0,4.35935397039031,556.661283086586,154.46209062359802,8,4,557,154,6687,0.9830291049798116,1.0216870168071874,False,0,8,553,561,150,158,512,59,512,0,True,matched
58,8.832832230907998,4.226097414311485,205.913409500902,194.79194227300061,9,4,206,195,1663,0.9109824817723993,0.2354628789731487,False,0,8,202,210,191,199,512,110,512,0,True,matched
62,9.954607977991747,4.466758367721229,653.680421824851,514.668500687758,10,4,654,515,6543,0.9791859949325615,0.9957774531006518,False,0,8,650,658,511,519,512,106,512,0,True,matched
63,8.026366559485531,4.611575562700964,82.50032154340836,536.3549839228295,8,5,83,536,4665,0.9620029265474277,0.6975064312497892,False,1,9,79,87,532,540,512,18,512,0,True,matched
64,8.29737802854298,4.385330235645536,91.12446067042815,605.0769996681049,8,4,91,605,3013,0.9322251687997842,0.4365561701518024,False,0,8,87,95,601,609,512,40,512,0,True,matched
65,8.0,4.439068100358423,528.9655017921147,728.298835125448,8,4,529,728,6696,0.9757550420726927,1.0154918075570134,False,0,8,525,533,724,732,512,48,512,0,True,matched
