index,kind,matched_index,matched_iou,mean_probability,status,t,voxel_count,weighted_probability,x,y,z
0,true,0,0.18610038610038604,,tp,2.0,,,26.0,154.0,65.0
1,true,1,0.20528789659224445,,tp,2.0,,,44.0,200.0,118.0
2,true,2,0.23560894386298759,,tp,2.0,,,50.0,117.0,113.0
3,true,4,0.20329829298871638,,tp,2.0,,,79.0,141.0,43.0
4,true,6,0.253345342254246,,tp,2.0,,,97.0,132.0,85.0
5,true,8,0.20283177885155634,,tp,2.0,,,114.0,150.0,57.0
6,true,9,0.08000496154800296,,tp,2.0,,,123.0,227.0,86.0
7,true,10,0.1724418250177827,,tp,2.0,,,128.0,191.0,58.0
8,true,12,0.22170192152430168,,tp,2.0,,,139.0,249.0,101.0
9,true,11,0.18535930154466085,,tp,2.0,,,141.0,215.0,57.0
10,true,,,,fn,2.0,,,163.0,96.0,74.0
11,true,13,0.1990800801981366,,tp,2.0,,,165.0,128.0,76.0
12,true,14,0.22783464043599633,,tp,2.0,,,167.0,146.0,136.0
13,true,15,0.0009668374746205632,,tp,2.0,,,170.0,220.0,91.0
14,true,17,0.19325055714740524,,tp,2.0,,,184.0,95.0,64.0
15,true,18,0.14597369265319216,,tp,2.0,,,188.0,167.0,76.0
16,true,19,0.18903464513958967,,tp,2.0,,,192.0,212.0,88.0
17,true,21,0.19916968277624014,,tp,2.0,,,208.0,96.0,43.0
18,true,20,0.1569227406840783,,tp,2.0,,,208.0,126.0,125.0
19,true,22,0.065041515861188,,tp,2.0,,,232.0,199.0,115.0
20,true,23,0.18423502637840072,,tp,2.0,,,248.0,216.0,69.0
21,true,,,,fn,2.0,,,249.0,197.0,96.0
22,true,24,0.430833422488499,,tp,2.5,,,274.0,61.5,111.0
23,true,25,0.19007092198581566,,tp,2.0,,,279.0,217.0,92.0
24,true,27,0.18626002532714225,,tp,2.0,,,283.0,188.0,78.0
25,true,26,0.2063641720683559,,tp,2.0,,,284.0,67.0,136.0
26,true,,,,fn,2.0,,,289.0,109.0,53.0
27,true,29,0.2530973451327434,,tp,2.0,,,305.0,99.0,52.0
28,true,30,0.17150480256136602,,tp,2.0,,,320.0,188.0,55.0
29,true,,,,fn,3.0,,,37.0,126.0,133.0
30,true,3,0.10667639547610364,,tp,3.0,,,63.0,84.0,120.0
31,true,31,0.14674609757936807,,tp,3.0,,,72.0,227.0,116.0
32,true,32,0.24737042199974657,,tp,3.0,,,84.0,234.0,103.0
33,true,33,0.18240541371885577,,tp,3.5,,,100.5,184.5,108.5
34,true,34,0.17648272305312018,,tp,3.0,,,99.0,163.0,140.0
35,true,35,0.42495018817799424,,tp,3.5,,,126.0,228.0,62.0
36,true,36,0.1646717446499819,,tp,3.0,,,150.0,171.0,42.0
37,true,,,,fn,3.0,,,162.0,83.0,114.0
38,true,62,0.1758160237388724,,tp,3.5,,,166.5,219.0,129.0
39,true,16,0.16035493582633498,,tp,3.0,,,170.0,68.0,82.0
40,true,38,0.18447488584474891,,tp,3.0,,,180.0,157.0,64.0
41,true,39,0.15150004983554277,,tp,3.0,,,192.0,82.0,78.0
42,true,42,0.16124736433248255,,tp,3.0,,,216.0,227.0,106.0
43,true,43,0.25992465951898003,,tp,3.5,,,227.0,215.5,61.5
44,true,44,0.2143420904273312,,tp,3.0,,,261.0,134.0,33.0
45,true,45,0.21311475409836067,,tp,3.0,,,271.0,90.0,72.0
46,true,46,0.2502712477396022,,tp,3.0,,,272.0,209.0,61.0
47,true,49,0.19993033786137238,,tp,3.0,,,304.0,219.0,112.0
48,true,50,0.2427234927234927,,tp,3.0,,,319.0,120.0,53.0
49,true,51,0.19276105060858417,,tp,4.0,,,26.0,179.5,104.5
50,true,52,0.2717480229070084,,tp,4.0,,,69.0,92.0,82.0
51,true,53,0.14884393063583812,,tp,4.0,,,78.0,205.0,93.0
52,true,54,0.19461883408071745,,tp,4.0,,,81.0,174.0,115.0
53,true,7,0.15039754765782165,,tp,4.0,,,91.0,109.0,63.0
54,true,55,0.20241904518110843,,tp,4.0,,,99.0,188.5,49.0
55,true,,,,fn,4.0,,,104.0,186.0,90.0
56,true,56,0.16377918863660823,,tp,4.0,,,111.0,221.0,55.0
57,true,57,0.18353576248313086,,tp,4.0,,,138.0,195.0,40.0
58,true,58,0.19391716997411557,,tp,4.0,,,141.0,129.0,35.0
59,true,60,0.16767645383460206,,tp,4.5,,,154.0,172.5,93.0
60,true,,,,fn,4.5,,,155.0,78.0,139.5
61,true,,,,fn,4.0,,,163.0,70.0,100.0
62,true,40,0.1169622309462569,,tp,4.0,,,208.0,152.0,119.0
63,true,,,,fn,4.0,,,230.0,187.0,127.0
64,true,63,0.1927591881513988,,tp,4.0,,,248.0,84.0,92.0
65,true,,,,fn,4.0,,,263.0,80.0,145.0
66,true,64,0.1540247678018576,,tp,4.0,,,270.0,183.0,41.0
67,true,65,0.19976012793176978,,tp,4.0,,,275.0,160.0,121.0
68,true,66,0.22634797109505278,,tp,4.0,,,277.0,108.0,85.0
69,true,47,0.2181149732620321,,tp,4.5,,,281.0,84.0,118.0
70,true,28,0.10140299445084289,,tp,4.0,,,300.0,124.0,59.0
71,true,48,0.18221358504534524,,tp,4.0,,,306.0,174.0,79.0
72,true,67,0.17199838023891478,,tp,4.0,,,307.0,221.0,87.0
73,true,68,0.17458887136742507,,tp,4.0,,,322.0,88.0,78.0
74,true,69,0.18505231689088197,,tp,5.0,,,40.0,126.0,86.0
75,true,70,0.226315220913903,,tp,5.0,,,84.0,165.0,93.0
76,true,5,0.11324546367988653,,tp,5.0,,,92.0,61.0,92.0
77,true,,,,fn,5.0,,,116.0,225.0,105.0
78,true,,,,fn,5.0,,,126.0,218.0,94.0
79,true,71,0.13785670293574215,,tp,5.0,,,136.0,79.0,105.0
80,true,,,,fn,5.0,,,141.0,157.0,100.0
81,true,,,,fn,5.0,,,153.0,225.0,132.0
82,true,72,0.15733991252663448,,tp,5.0,,,197.0,132.0,38.0
83,true,41,0.10960012951270848,,tp,5.0,,,209.0,67.0,147.0
84,true,73,0.15401015228426396,,tp,5.0,,,228.0,165.0,115.0
85,true,74,0.1084070796460177,,tp,5.0,,,234.0,106.0,46.0
86,true,,,,fn,5.0,,,238.0,200.0,111.0
87,true,75,0.16146842309182485,,tp,5.0,,,255.0,178.0,66.0
88,true,76,0.17643250242797026,,tp,5.0,,,273.0,76.0,85.0
89,true,78,0.15590068256009493,,tp,5.0,,,293.0,136.0,92.0
90,true,79,0.20203908241291413,,tp,5.0,,,303.0,108.0,94.0
91,true,80,0.2070538157494679,,tp,5.0,,,309.0,81.0,109.0
92,true,81,0.10855444236485745,,tp,6.0,,,108.0,169.0,52.0
93,true,37,0.0718191222107285,,tp,6.0,,,158.0,67.0,115.0
94,true,83,0.15730129390018488,,tp,6.0,,,188.0,117.0,39.0
95,true,99,0.20900483481063659,,tp,6.0,,,190.0,148.0,97.0
96,true,85,0.20379092475588745,,tp,6.0,,,211.0,65.0,88.0
97,true,86,0.22824675324675325,,tp,6.0,,,211.0,98.0,57.0
98,true,88,0.21170297707311514,,tp,6.0,,,221.0,139.0,137.0
99,true,89,0.23207653348339896,,tp,6.0,,,227.0,184.0,148.0
100,true,77,0.1306799336650083,,tp,6.0,,,270.0,114.0,65.0
101,true,,,,fn,6.0,,,294.0,160.0,46.0
102,true,91,0.13826366559485526,,tp,7.0,,,38.0,124.0,142.0
103,true,92,0.14089704769114308,,tp,7.0,,,43.0,99.0,83.0
104,true,,,,fn,7.0,,,67.0,69.0,99.0
105,true,93,0.30254041570438805,,tp,7.5,,,87.0,203.5,59.5
106,true,94,0.1904192917662394,,tp,7.0,,,94.0,213.0,131.0
107,true,95,0.12901401369949095,,tp,7.0,,,115.0,71.0,96.0
108,true,96,0.21297998918334238,,tp,7.0,,,115.0,245.0,66.0
109,true,59,0.17759764185703752,,tp,7.0,,,141.0,201.0,109.0
110,true,,,,fn,7.0,,,154.0,63.0,157.0
111,true,98,0.17866492146596857,,tp,7.0,,,156.0,101.0,75.0
112,true,61,0.1143626570915619,,tp,7.0,,,162.0,89.0,134.0
113,true,84,0.1229907452508524,,tp,7.0,,,199.0,114.0,88.0
114,true,100,0.21535405468567426,,tp,7.0,,,222.0,210.0,101.0
115,true,101,0.21239351149492358,,tp,7.0,,,226.0,85.0,74.0
116,true,102,0.22690437601296598,,tp,7.0,,,265.0,227.0,145.0
117,true,90,0.14460360582859966,,tp,7.0,,,285.0,191.0,114.0
118,true,103,0.20792664892043777,,tp,7.0,,,326.0,182.0,102.0
119,true,104,0.15807371654234315,,tp,8.0,,,81.0,84.0,98.0
120,true,105,0.21301392036257694,,tp,8.0,,,131.0,249.0,124.0
121,true,97,0.17224298253237158,,tp,8.0,,,144.0,121.0,64.0
122,true,106,0.2189828312277292,,tp,8.0,,,166.0,83.0,85.0
123,true,107,0.1977451088758705,,tp,8.0,,,190.0,169.0,44.0
124,true,109,0.2176902458920872,,tp,8.0,,,258.0,157.0,52.0
125,true,110,0.22691632533645412,,tp,8.0,,,262.0,56.0,77.0
126,true,111,0.22961854899027667,,tp,8.0,,,312.0,80.0,137.0
127,true,112,0.32006394884092726,,tp,9.0,,,43.0,147.0,92.0
