dt_frames,method,pred_index,pred_t_rounded,pred_x,pred_y,pred_z,spatial_distance_raw_voxels,true_index,true_t_rounded,true_x,true_y,true_z
0.0,global_maximum_dt1_tol10_raw_voxels,0,2.0,27.330680813439436,153.6327733569113,67.18361332154436,2.583357112881613,0,2.0,26.0,154.0,65.0
0.0,global_maximum_dt1_tol10_raw_voxels,1,2.0,43.77356406480118,199.6023564064801,120.80265095729013,2.83976161827292,1,2.0,44.0,200.0,118.0
0.0,global_maximum_dt1_tol10_raw_voxels,2,2.0,51.267391304347825,117.39855072463769,114.02463768115942,1.6777978948900423,2,2.0,50.0,117.0,113.0
0.0,global_maximum_dt1_tol10_raw_voxels,4,2.0,79.31770833333333,141.01967592592592,44.80237268518518,1.8302658340886255,3,2.0,79.0,141.0,43.0
0.0,global_maximum_dt1_tol10_raw_voxels,6,2.0,98.39504716981132,132.30778301886792,85.46540880503144,1.5024953738706899,4,2.0,97.0,132.0,85.0
0.0,global_maximum_dt1_tol10_raw_voxels,8,2.0,115.49458987783595,150.38150087260036,59.35986038394415,2.819269914434152,5,2.0,114.0,150.0,57.0
0.0,global_maximum_dt1_tol10_raw_voxels,10,2.0,127.18771874005726,191.2153993000318,61.776328348711424,3.868701784964809,7,2.0,128.0,191.0,58.0
0.0,global_maximum_dt1_tol10_raw_voxels,12,2.0,140.1105002748763,248.02528862012093,103.70588235294117,3.083029750509158,8,2.0,139.0,249.0,101.0
0.0,global_maximum_dt1_tol10_raw_voxels,11,2.0,138.91368942341705,214.82278033250796,59.83268482490272,3.522527778420209,9,2.0,141.0,215.0,57.0
0.0,global_maximum_dt1_tol10_raw_voxels,13,2.0,164.00632911392404,128.51712583767684,79.15748324646314,3.3502987051192017,11,2.0,165.0,128.0,76.0
0.0,global_maximum_dt1_tol10_raw_voxels,14,2.0,165.3169191919192,146.74705387205387,137.878367003367,2.630420706582607,12,2.0,167.0,146.0,136.0
0.0,global_maximum_dt1_tol10_raw_voxels,17,2.0,182.02068965517242,94.8768472906404,66.48768472906404,3.1814165621908943,14,2.0,184.0,95.0,64.0
0.0,global_maximum_dt1_tol10_raw_voxels,18,2.0,188.04043220634367,167.8055071453468,81.16277448588359,5.225391556295579,15,2.0,188.0,167.0,76.0
0.0,global_maximum_dt1_tol10_raw_voxels,19,2.0,194.5021186440678,213.569209039548,89.784604519774,3.45077208908219,16,2.0,192.0,212.0,88.0
0.0,global_maximum_dt1_tol10_raw_voxels,21,2.0,208.87975098296198,96.54062909567497,45.515072083879424,2.7187918637186073,17,2.0,208.0,96.0,43.0
0.0,global_maximum_dt1_tol10_raw_voxels,20,2.0,208.00601556970983,128.1348195329087,129.15675866949752,4.672914857089761,18,2.0,208.0,126.0,125.0
0.0,global_maximum_dt1_tol10_raw_voxels,23,2.0,247.13684548666882,215.84195309990363,72.05075489881143,3.1744479817971536,20,2.0,248.0,216.0,69.0
1.0,global_maximum_dt1_tol10_raw_voxels,24,2.0,274.83682830930536,61.82372214941022,112.35058977719528,1.621471675835888,22,3.0,274.0,61.5,111.0
0.0,global_maximum_dt1_tol10_raw_voxels,25,2.0,277.66113833396156,216.10403316999623,95.18469656992085,3.5689773554506945,23,2.0,279.0,217.0,92.0
0.0,global_maximum_dt1_tol10_raw_voxels,27,2.0,284.4168856767411,188.0607752956636,81.061432325887,3.3739630323260807,24,2.0,283.0,188.0,78.0
0.0,global_maximum_dt1_tol10_raw_voxels,26,2.0,283.9401993355482,68.23366555924696,138.76190476190476,3.0254957850529514,25,2.0,284.0,67.0,136.0
0.0,global_maximum_dt1_tol10_raw_voxels,29,2.0,304.90283645141824,100.002414001207,53.907664453832226,2.1571875795590496,27,2.0,305.0,99.0,52.0
0.0,global_maximum_dt1_tol10_raw_voxels,30,2.0,318.4174560216509,187.74052774018944,58.93809201623816,4.252098308527096,28,2.0,320.0,188.0,55.0
0.0,global_maximum_dt1_tol10_raw_voxels,3,3.0,63.61693980701486,84.26382294378925,125.42786031551539,5.469175886355821,30,3.0,63.0,84.0,120.0
1.0,global_maximum_dt1_tol10_raw_voxels,31,4.0,73.30508474576271,224.5048098946404,115.87471369674759,2.8186728283519566,31,3.0,72.0,227.0,116.0
0.0,global_maximum_dt1_tol10_raw_voxels,32,3.0,85.01706749418153,233.06089992242048,103.61869666408069,1.5162851992864472,32,3.0,84.0,234.0,103.0
0.0,global_maximum_dt1_tol10_raw_voxels,33,4.0,103.63865011142948,184.94126074498567,102.29369627507164,6.968790533019433,33,4.0,100.5,184.5,108.5
0.0,global_maximum_dt1_tol10_raw_voxels,34,3.0,101.40432397547596,161.73313972249113,142.88706034204583,3.96494970464849,34,3.0,99.0,163.0,140.0
1.0,global_maximum_dt1_tol10_raw_voxels,35,3.0,126.01143847487002,229.44298093587523,63.40207972270364,2.0120020797264133,35,4.0,126.0,228.0,62.0
0.0,global_maximum_dt1_tol10_raw_voxels,36,3.0,149.5761562998405,174.25159489633174,45.27591706539075,4.635099294657435,36,3.0,150.0,171.0,42.0
1.0,global_maximum_dt1_tol10_raw_voxels,62,5.0,160.08613700851237,219.88832590190515,130.69922983380624,6.694336666889967,38,4.0,166.5,219.0,129.0
1.0,global_maximum_dt1_tol10_raw_voxels,16,2.0,170.70138089758342,65.83084004602992,86.52013808975835,5.062493300725113,39,3.0,170.0,68.0,82.0
0.0,global_maximum_dt1_tol10_raw_voxels,38,3.0,180.92942283563363,156.59849435382685,67.20577164366374,3.36184553818653,40,3.0,180.0,157.0,64.0
0.0,global_maximum_dt1_tol10_raw_voxels,39,3.0,192.13214739517153,84.62261753494282,81.74491740787802,4.573837782482889,41,3.0,192.0,82.0,78.0
0.0,global_maximum_dt1_tol10_raw_voxels,42,3.0,218.85026929982047,225.63123877917414,109.32639138240575,4.589381438721232,42,3.0,216.0,227.0,106.0
1.0,global_maximum_dt1_tol10_raw_voxels,43,3.0,225.93473827328347,214.73147518694765,66.93915703602991,5.5955198326230535,43,4.0,227.0,215.5,61.5
0.0,global_maximum_dt1_tol10_raw_voxels,44,3.0,259.7748527883616,134.16418427433322,35.13266366470384,2.464994213557439,44,3.0,261.0,134.0,33.0
0.0,global_maximum_dt1_tol10_raw_voxels,45,3.0,272.2496025437202,91.31987281399046,72.27726550079491,1.8385991733692535,45,3.0,271.0,90.0,72.0
0.0,global_maximum_dt1_tol10_raw_voxels,46,3.0,272.0780682643428,208.859477124183,61.6437908496732,0.6635570741453358,46,3.0,272.0,209.0,61.0
0.0,global_maximum_dt1_tol10_raw_voxels,49,3.0,306.22975929978116,217.76586433260394,113.7618526622903,3.0982321062372185,47,3.0,304.0,219.0,112.0
0.0,global_maximum_dt1_tol10_raw_voxels,50,3.0,319.7440643863179,121.34969818913481,54.23501006036217,1.974985281447997,48,3.0,319.0,120.0,53.0
0.0,global_maximum_dt1_tol10_raw_voxels,51,4.0,25.93418037908769,178.17225578004582,108.1426786086232,3.877672547010621,49,4.0,26.0,179.5,104.5
0.0,global_maximum_dt1_tol10_raw_voxels,52,4.0,69.52119700748129,92.68661679135495,82.3171238570241,0.9185077460053683,50,4.0,69.0,92.0,82.0
0.0,global_maximum_dt1_tol10_raw_voxels,53,4.0,80.0228826933193,203.30641767490795,96.0312993161494,4.018588188267465,51,4.0,78.0,205.0,93.0
0.0,global_maximum_dt1_tol10_raw_voxels,54,4.0,82.22499122499123,174.8143208143208,117.94699894699895,3.293709866329229,52,4.0,81.0,174.0,115.0
1.0,global_maximum_dt1_tol10_raw_voxels,7,3.0,96.74818181818182,108.13666666666667,63.1069696969697,5.813637516683533,53,4.0,91.0,109.0,63.0
0.0,global_maximum_dt1_tol10_raw_voxels,55,4.0,99.78693240189028,188.2597082391617,54.152866242038215,5.218144616988744,54,4.0,99.0,188.5,49.0
0.0,global_maximum_dt1_tol10_raw_voxels,56,4.0,110.16884906960716,220.7801516195727,59.396623018607855,4.479892760683209,56,4.0,111.0,221.0,55.0
0.0,global_maximum_dt1_tol10_raw_voxels,57,4.0,135.90338680926916,196.4017825311943,42.741176470588236,3.7248932305791818,57,4.0,138.0,195.0,40.0
0.0,global_maximum_dt1_tol10_raw_voxels,58,4.0,140.9685302979578,129.19250083696016,38.255440241044525,3.261278595488129,58,4.0,141.0,129.0,35.0
