match_id,pred_rendered_center_vs_replay_rounded_distance,replay_iou,replay_pred_index,replay_pred_t,replay_spatial_distance_raw_voxels,replay_true_index,replay_true_t,saved_row_present,true_rendered_center_vs_replay_rounded_distance
2,0.0,0.430833422488499,24,2.0,1.621471675835888,22,2.5,True,0.0
3,0.0,0.42495018817799424,35,3.0,2.0120020797264133,35,3.5,True,0.0
4,0.0,0.35261569416498995,117,8.5,1.2532751918648615,134,9.0,True,0.0
5,0.0,0.34253938832252084,121,8.5,2.1733808181740097,139,9.0,True,0.0
6,0.0,0.32006394884092726,112,8.5,1.850005216641118,127,9.0,True,0.0
7,0.0,0.31984496124031003,113,8.5,1.742702309218857,128,9.0,True,0.0
8,0.0,0.3174956300651517,118,8.5,1.8991100165447383,135,9.0,True,0.0
9,0.0,0.31038069482005404,120,8.5,3.1732057152163375,137,9.0,True,0.0
10,0.0,0.30961506415597406,119,8.5,2.485771417236986,138,9.0,True,0.0
11,0.0,0.30254041570438805,93,7.0,3.2306662306002205,105,7.5,True,0.0
12,0.0,0.279747225647349,82,8.458831126896998,3.0551537414947223,132,9.0,True,0.0
13,0.0,0.27970139771283353,122,8.5,3.2467874366622236,141,9.0,True,0.0
14,0.0,0.2788306155428235,124,8.5,3.0390306498104187,144,9.0,True,0.0
15,0.0,0.2777110243316312,114,8.5,3.056891372479336,129,9.0,True,0.0
16,0.0,0.2774741081703107,123,8.5,3.007184494609049,143,9.0,True,0.0
17,0.0,0.2717480229070084,52,4.0,0.9185077460053683,50,4.0,True,0.0
18,0.0,0.25992465951898003,43,3.0,5.5955198326230535,43,3.5,True,0.0
19,0.0,0.253345342254246,6,2.0,1.5024953738706899,4,2.0,True,0.0
20,0.0,0.2530973451327434,29,2.0,2.1571875795590496,27,2.0,True,0.0
21,0.0,0.2502712477396022,46,3.0,0.6635570741453358,46,3.0,True,0.0
22,0.0,0.24737042199974657,32,3.0,1.5162851992864472,32,3.0,True,0.0
23,0.0,0.2427234927234927,50,3.0,1.974985281447997,48,3.0,True,0.0
24,0.0,0.23560894386298759,2,2.0,1.6777978948900423,2,2.0,True,0.0
25,0.0,0.23207653348339896,89,6.0,1.3422264631318086,99,6.0,True,0.0
26,0.0,0.2319988682982035,115,8.5,4.384895520260393,131,9.0,True,0.0
27,0.0,0.22961854899027667,111,8.0,2.6775241541916817,126,8.0,True,0.0
