annotation_lookup_t,annotation_lookup_x,annotation_lookup_y,annotation_lookup_z,approximate_center_error_voxels,approximate_length_error_voxels,approximate_quaternion_error_deg,center_t,center_x,center_y,center_z,dataset,evaluated,exact_center_error_voxels,index,metric_basis,mode,nematic_axis_error_deg,predicted_decode_center_distance,predicted_decode_quality_ratio,predicted_length_npz,predicted_raster_span,skip_reason,truth_center_x,truth_center_y,truth_center_z,truth_decode_center_distance,truth_decode_quality_ratio,truth_length_from_label_centroids,truth_raster_span,truth_rendered_time_offset
,,,,0.5,12.619038146246204,36.951833955765366,2.0,78.0,855.0,5.0,neural_tube_membrane,True,,0,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,76.71889790582709,1.0315277925373094,97.14565852762719,20.516691207885742,17.257816730905546,,,,,0.7071067811865476,1253.519317188568,,33.135729354131946,0
,,,,0.0,13.638395001354581,18.256774311993127,2.0,289.0,131.0,4.0,neural_tube_membrane,True,,1,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,10.766012412099535,0.8660254037844386,316.11957321672423,18.13950538635254,18.4068956250443,,,,,0.8660254037844386,856.8260282990598,,31.77790038770712,0
,,,,0.5,5.577620420536306,66.92767551424492,2.0,442.0,817.0,4.0,neural_tube_membrane,True,,2,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,55.05536550223862,0.8660254037844386,127.36822944016177,17.354814529418945,16.33651055341118,,,,,0.8444037846192366,443.45028086202643,,22.93243494995525,0
,,,,0.5,12.350158733156654,76.53005045463419,2.0,614.0,380.0,4.0,neural_tube_membrane,True,,3,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,81.25670636153244,0.8426561840065286,246.9401800487902,18.5201358795166,17.71193403512141,,,,,1.224744871391589,1191.2236685771836,,30.870294612673256,0
,,,,0.0,16.459425625110114,57.709791349317214,2.0,982.0,372.0,4.0,neural_tube_membrane,True,,4,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,32.48612710181979,0.8660254037844386,278.573923331072,18.900737762451172,18.619222394440495,,,,,0.8660254037844386,1229.4674856585252,,35.360163387561286,0
,,,,0.5,16.538963966701232,66.36770673140329,3.0,292.0,570.0,4.0,neural_tube_membrane,True,,5,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,84.18166447382104,0.8660254037844386,317.23355974430893,18.812379837036133,19.87351105989663,,,,,0.7071067811865476,1215.3666908826895,,35.351343803737365,0
,,,,0.5,14.84756306933216,17.903201871807084,3.0,659.0,13.0,4.0,neural_tube_membrane,True,,6,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,9.217289551161334,0.8660254037844386,311.3619746972253,18.762449264526367,18.397370713585723,,,,,0.7071067811865476,918.591628353134,,33.61001233385853,0
,,,,0.7071067811865476,13.870974708984662,38.49058880318124,3.0,661.0,611.0,5.0,neural_tube_membrane,True,,7,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,20.90766319356672,0.8660254037844386,260.5281797530301,19.430601119995117,19.651035554250978,,,,,0.6877454668410735,938.2626584025987,,33.30157582897978,0
,,,,0.0,10.250333648989638,100.44523972009863,3.0,914.0,40.0,4.0,neural_tube_membrane,True,,8,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,35.253969108670304,0.8660254037844386,368.6280178923858,19.190153121948242,19.034479405930547,,,,,0.8660254037844386,997.3264586543661,,29.44048677093788,0
,,,,0.5,18.40758214184695,37.14466491366994,3.0,974.0,543.0,4.0,neural_tube_membrane,True,,9,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,33.96390258902476,0.5685520361140428,148.60813790958835,18.927696228027344,18.932138639099755,,,,,0.7071067811865476,1214.338816561976,,37.335278369874295,0
,,,,1.0,16.445202155044228,39.06268355245152,4.0,84.0,216.0,4.0,neural_tube_membrane,True,,10,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,28.030781919204625,0.8660254037844386,208.41768256277467,18.76880645751953,19.6549704073805,,,,,1.6583123951777,651.8938575948092,,35.21400861256376,0
,,,,1.0,12.493476304138213,34.187487326087926,4.0,240.0,404.0,4.0,neural_tube_membrane,True,,11,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,41.65882125087746,0.7648983229452424,117.48563164304065,20.16423797607422,19.417590221454603,,,,,1.6583123951777,1031.952549434953,,32.65771428021243,0
,,,,0.0,17.17378896156091,100.10064328368324,4.0,322.0,625.0,4.0,neural_tube_membrane,True,,12,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,39.75647308340106,0.8660254037844386,189.5706091212303,18.51657485961914,18.161122952058108,,,,,0.8660254037844386,1273.0270884047743,,35.69036382118005,0
,,,,0.5,15.597917358904326,37.18576261185496,4.0,649.0,420.0,4.0,neural_tube_membrane,True,,13,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,30.10944870982944,0.8351831321318284,445.1245515440915,18.135974884033203,18.80832691256213,,,,,0.7071067811865476,1340.8545534303453,,33.73389224293753,0
,,,,1.118033988749895,10.04682073930956,91.09063003954698,4.0,741.0,404.0,4.0,neural_tube_membrane,True,,14,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,36.22222167017887,0.8660254037844386,296.77900489180274,17.1901912689209,18.184789950327733,,,,,1.647895999294192,708.6111847207035,,27.237012008230458,0
,,,,1.0,18.472830521440436,63.508538509924634,4.0,890.0,266.0,4.0,neural_tube_membrane,True,,15,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,43.266485072604,0.8660254037844386,283.6768823211958,19.292903900146484,19.855480456421386,,,,,1.6583123951777,1077.9200141471104,,37.76573442158692,0
,,,,0.7071067811865476,17.428860574360257,82.09661774661447,5.0,60.0,426.0,4.0,neural_tube_membrane,True,,16,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,29.410249597733422,0.8660254037844386,247.64299791576886,18.527544021606445,17.747483317391275,,,,,0.835914746014128,985.7719966343847,,35.9564045959667,0
,,,,1.0,6.396047878353279,43.9484455707932,5.0,325.0,715.0,4.0,neural_tube_membrane,True,,17,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,52.1165545257943,0.4750730937912892,116.38172420870589,19.576007843017578,17.67873632883152,,,,,1.6583123951777,561.9536626717464,,25.972055721370857,0
,,,,1.0,12.505413371676148,45.357255662006345,5.0,553.0,176.0,4.0,neural_tube_membrane,True,,18,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,64.74014542166995,0.8426561840065286,288.9240187085407,18.649065017700195,18.366965246980644,,,,,1.6583123951777,1111.8630816057175,,31.154478389376344,0
,,,,1.0,17.558926472282984,127.68637591829523,5.0,631.0,514.0,4.0,neural_tube_membrane,True,,19,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,56.52809087947493,0.8660254037844386,230.51218273965517,18.582231521606445,19.00949084451397,,,,,1.6583123951777,1181.9929802516533,,36.14115799388943,0
,,,,0.5,19.832783090790215,33.431980254186705,5.0,699.0,246.0,4.0,neural_tube_membrane,True,,20,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,10.61789769833519,0.8660254037844386,266.50053819450517,19.07512092590332,19.44433799291849,,,,,0.7071067811865476,2699.675584177491,,38.907904016693536,0
,,,,1.118033988749895,20.312260202566037,166.55818290651183,5.0,981.0,63.0,4.0,neural_tube_membrane,True,,21,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,84.7102582497899,0.8660254037844386,313.6568654114491,18.595136642456055,19.046027848011978,,,,,1.6505686084807074,1532.7091176743572,,38.90739684502209,0
,,,,0.0,17.227606161139512,55.800993281508504,6.0,156.0,167.0,4.0,neural_tube_membrane,True,,22,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,54.422914033781865,0.8207381501496753,223.2051367529225,18.24981117248535,17.684557835225903,,,,,0.8660254037844386,1150.3965538365348,,35.477417333624864,0
,,,,0.7071067811865476,12.286606108316562,74.892110292297,6.0,192.0,742.0,4.0,neural_tube_membrane,True,,23,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,22.429986584811566,0.8660254037844386,254.57738803185342,18.45034408569336,18.18313761542857,,,,,0.8303331409741515,819.9722203737608,,30.73695019400992,0
,,,,0.5,12.620449371100733,33.44096270720645,6.0,236.0,705.0,4.0,neural_tube_membrane,True,,24,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,36.958892897727985,0.4898979485566589,220.0372563126515,19.342620849609375,18.18679945693214,,,,,0.849384063423156,852.4802237142079,,31.963070220710108,0
,,,,0.0,13.579921762940998,63.84686944460232,6.0,400.0,688.0,4.0,neural_tube_membrane,True,,25,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,78.84023136004622,0.7872880573253355,156.42893361935535,17.691057205200195,17.277401902020742,,,,,0.8660254037844386,960.6016485744603,,31.270978968141193,0
,,,,0.5,12.276793708182204,59.13287369788749,6.0,735.0,37.0,4.0,neural_tube_membrane,True,,26,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,82.60914683044349,0.8426561840065286,164.23788360156647,18.737314224243164,19.2236584294861,,,,,0.7071067811865476,1157.9993146947506,,31.014107932425368,0
,,,,1.5,14.856532293389506,34.137025269353366,6.0,935.0,14.0,5.0,neural_tube_membrane,True,,27,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,15.742583974109028,0.8660254037844386,298.89630084317315,18.758773803710938,19.242451092415017,,,,,1.224744871391589,1016.163088538943,,33.615306097100444,0
,,,,1.0,16.282759583835684,56.19811512306747,7.0,35.0,349.0,4.0,neural_tube_membrane,True,,28,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,48.82517094200935,1.0842600401705926,138.8740783180236,19.515295028686523,18.154115522521902,,,,,1.6583123951777,1305.4366063745772,,35.79805461252221,0
,,,,1.0,10.94409813124394,34.454678318201246,7.0,422.0,114.0,4.0,neural_tube_membrane,True,,29,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,23.472219160524872,0.8351831321318284,445.1245515440915,19.029985427856445,18.80832691256213,,,,,1.6583123951777,976.6247361581374,,29.974083559100386,0
,,,,0.5,13.108376306495998,116.98850833714191,7.0,600.0,129.0,5.0,neural_tube_membrane,True,,30,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,43.68121889522004,0.8660254037844386,250.57864552255478,18.283557891845703,17.955620016698507,,,,,0.7071067811865476,983.7021348703526,,31.3919341983417,0
,,,,0.5,12.975226223747015,50.85147612898612,7.0,851.0,403.0,4.0,neural_tube_membrane,True,,31,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,56.30529468223936,0.6086956521738812,127.63200724326788,19.603178024291992,17.4975991039266,,,,,0.849384063423156,1023.1931522453272,,32.57840424803901,0
,,,,0.5,11.701923022892085,48.57552903991946,8.0,157.0,557.0,5.0,neural_tube_membrane,True,,32,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,27.229958744685845,0.8660254037844386,354.9315503886059,19.1838436126709,19.661217324429956,,,,,0.7071067811865476,1116.3814571900036,,30.885766635562984,0
,,,,0.7071067811865476,16.31472408820229,77.71611177522826,8.0,338.0,750.0,4.0,neural_tube_membrane,True,,33,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,32.69448196518376,0.8028776222878097,206.62729481791067,17.516643524169922,16.30311328629594,,,,,0.6887501225422213,819.7491268986784,,33.83136761237221,0
,,,,1.0,15.965612427332161,20.694774796235546,8.0,557.0,146.0,4.0,neural_tube_membrane,True,,34,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,19.329699698794823,0.8660254037844386,217.83715881047473,18.481853485107422,17.51969383796183,,,,,1.6583123951777,1684.0199953594406,,34.44746591243958,0
,,,,0.5,15.866949461196398,35.95004960624624,8.0,836.0,439.0,4.0,neural_tube_membrane,True,,35,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,33.282829403166055,0.5512303287043074,309.50244525440166,18.62212371826172,18.799551548426685,,,,,0.8502904369452204,1072.0510398544288,,34.48907317945812,0
,,,,1.224744871391589,12.754106301456922,29.34012809515257,8.0,903.0,377.0,4.0,neural_tube_membrane,True,,36,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,18.332562216648544,0.8660254037844386,188.8903587736701,17.986114501953125,16.817850379634343,,,,,1.6399552204252408,729.0526515775366,,30.740220803410047,0
,,,,1.0,14.966082121501437,59.94556293865861,8.0,925.0,540.0,4.0,neural_tube_membrane,True,,37,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,18.335148379980676,0.8660254037844386,282.41105409045264,19.251014709472656,19.852654999654106,,,,,1.6583123951777,1306.486796808173,,34.21709683097409,0
,,,,1.0,11.77081391253909,51.54411861945064,9.0,196.0,200.0,4.0,neural_tube_membrane,True,,38,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,19.635038450550834,0.8660254037844386,242.56879679029262,18.473512649536133,17.747009633237674,,,,,1.6583123951777,920.5251974538289,,30.244326562075223,0
,,,,0.5,13.446310348273585,22.084059334536658,9.0,536.0,84.0,4.0,neural_tube_membrane,True,,39,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,11.47728584565298,0.8660254037844386,282.8773331922923,18.516759872436523,18.609775236293892,,,,,0.849384063423156,852.4802237142095,,31.963070220710108,0
,,,,0.7071067811865476,12.330196152292501,120.57164763219957,9.0,607.0,91.0,4.0,neural_tube_membrane,True,,40,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,26.47166987524261,0.8660254037844386,187.83842627566995,18.668926239013672,18.38313110721586,,,,,1.2073162206926162,1754.123667206894,,30.999122391306173,0
,,,,1.0,14.686839916627399,42.4532087824714,9.0,730.0,530.0,4.0,neural_tube_membrane,True,,41,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,29.479618012982346,0.8660254037844386,340.69952853777517,18.6885986328125,19.035345472744602,,,,,1.6583123951777,993.4892995459545,,33.3754385494399,0
,,,,1.0,17.824881590378126,31.361809971901234,9.0,822.0,527.0,4.0,neural_tube_membrane,True,,42,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,18.82787703413379,0.8660254037844386,290.50751444301835,18.532440185546875,18.82190009314504,,,,,1.6583123951777,1135.9310376090398,,36.357321775925,0
,,,,1.118033988749895,11.398782896758654,40.06258837427638,9.0,998.0,477.0,4.0,neural_tube_membrane,True,,43,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,26.41410379529776,0.7429670248402536,301.83697266320894,19.147611618041992,18.384522020809527,,,,,1.6491593502448452,928.9877423534608,,30.546394514800646,0
,,,,0.5,17.068280542205343,25.352090875568496,10.0,295.0,80.0,4.0,neural_tube_membrane,True,,44,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,15.279953945859173,0.8660254037844386,353.1754712169078,18.28548812866211,18.405553935844136,,,,,0.7071067811865476,1457.6879035956017,,35.35376867086745,0
,,,,1.8708286933869707,7.80354881462398,45.94081179081335,10.0,396.0,458.0,4.0,neural_tube_membrane,True,,45,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,26.415594852456984,0.8660254037844386,263.92374660991874,18.368057250976562,18.389485477147428,,,,,3.2406717089208525,476.8840583611682,,26.171606065600542,0
,,,,1.224744871391589,19.937767475697513,33.277501775261705,10.0,516.0,660.0,4.0,neural_tube_membrane,True,,46,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,13.365411862531195,0.8660254037844386,355.6292036361601,18.905052185058594,19.25835978691165,,,,,1.6435479913893734,1092.8045263454708,,38.842819660756106,0
,,,,0.5,17.69687477632067,43.84709373172714,10.0,827.0,656.0,4.0,neural_tube_membrane,True,,47,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,21.78777708690536,0.8660254037844386,253.82556836235108,18.106266021728516,18.389356198862348,,,,,0.7071067811865476,1528.5943646899498,,35.803140798049185,0
,,,,0.0,10.381449192787326,29.12251986165693,11.0,114.0,551.0,4.0,neural_tube_membrane,True,,48,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,38.712406281901615,0.3500000000000088,129.7664658425657,19.330677032470703,17.815039230937668,,,,,0.8660254037844386,1302.1117320167496,,29.71212622525803,0
,,,,0.5,16.152306470771578,31.28252454134952,11.0,174.0,621.0,4.0,neural_tube_membrane,True,,49,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,16.5856767534877,0.8660254037844386,234.9052717650731,18.515047073364258,19.640169895609297,,,,,0.8502904369451924,1260.5404803504323,,34.667353544135835,0
,,,,0.7071067811865476,13.663807359423146,70.79298333264911,11.0,348.0,479.0,4.0,neural_tube_membrane,True,,50,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,43.513538798242294,0.8660254037844386,232.96812344012852,18.34857940673828,17.2849164166535,,,,,0.48484848484849863,1458.010333417552,,32.01238676616143,0
,,,,1.0,12.179837389754336,54.026875508816964,11.0,410.0,314.0,4.0,neural_tube_membrane,True,,51,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,36.90813884730769,0.8660254037844386,428.5346654642839,19.60708236694336,20.46361425639275,,,,,1.6583123951777,1109.681666532976,,31.786919756697696,0
,,,,0.0,8.738746826851923,22.95051392123942,11.0,533.0,411.0,4.0,neural_tube_membrane,True,,52,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,12.092358631811187,0.8660254037844386,280.93515611075037,18.716339111328125,17.74360122144406,,,,,0.8660254037844386,736.226303236114,,27.455085938180048,0
,,,,0.5,15.518958477961988,20.18132956352571,11.0,590.0,239.0,4.0,neural_tube_membrane,True,,53,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,9.422590904540437,0.8660254037844386,203.64039314173027,18.45160484313965,17.291394565447643,,,,,1.224744871391589,1083.3552971325707,,33.970563321101636,0
,,,,0.5,17.022000992853556,38.47010750976061,11.0,690.0,72.0,4.0,neural_tube_membrane,True,,54,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,76.82932013404225,0.8102528588600273,87.856919407403,18.332366943359375,14.865096422647014,,,,,0.7071067811865476,994.3378886666404,,35.35436793621293,0
,,,,1.118033988749895,12.950522209307003,87.34916901184549,11.0,693.0,298.0,4.0,neural_tube_membrane,True,,55,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,32.887015195550084,0.789821831503652,279.90472085608405,18.4462947845459,17.452046804552495,,,,,1.6491593502448452,968.8898361223554,,31.3968169938529,0
,,,,0.7071067811865476,12.04017747141345,35.34964282577075,12.0,112.0,400.0,4.0,neural_tube_membrane,True,,56,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,20.201920738129786,0.8660254037844386,372.20253068200685,18.43587875366211,19.030105334257435,,,,,0.825301429163664,979.1527067997386,,30.47605622507556,0
,,,,0.7071067811865476,13.233955317188133,38.52698174450431,12.0,171.0,335.0,4.0,neural_tube_membrane,True,,57,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,15.359820234302704,0.8660254037844386,364.1609017159926,19.886964797973633,20.855894328668608,,,,,1.2130347427824386,963.583814331827,,33.120920115161766,0
,,,,0.7071067811865476,13.94094345400967,43.01128080868642,12.0,217.0,409.0,4.0,neural_tube_membrane,True,,58,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,26.006828527111594,0.8660254037844386,236.52993792259628,18.631452560424805,18.839860846757436,,,,,0.6853660062331659,1243.3561322742073,,32.572396014434474,0
,,,,0.8660254037844386,15.176211958071889,40.60730306494055,12.0,719.0,713.0,4.0,neural_tube_membrane,True,,59,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,24.945291710259852,0.8381527307120106,244.73338405711024,19.05605125427246,18.36198398481745,,,,,0.8179128813519115,977.7588590222699,,34.23226321234435,0
