case,dt,match_id,pred_t,pred_x,pred_y,pred_z,spatial_distance_voxels,true_t,true_x,true_y,true_z
membrane_neural_tube,1,2,10,395.5,454.5,4.5,3.1622776601683795,11,395.5,457.5,3.5
membrane_neural_tube,0,3,20,909.5,678.5,4.5,1.0,20,909.5,678.5,3.5
membrane_neural_tube,0,4,20,169.5,725.5,3.5,0.0,20,169.5,725.5,3.5
membrane_neural_tube,1,5,19,216.5,94.5,3.5,3.1622776601683795,20,219.5,93.5,3.5
membrane_neural_tube,0,6,20,724.5,576.5,3.5,1.0,20,724.5,577.5,3.5
membrane_neural_tube,0,7,4,648.5,419.5,3.5,0.0,4,648.5,419.5,3.5
membrane_neural_tube,0,8,20,504.5,507.5,3.5,2.23606797749979,20,506.5,508.5,3.5
membrane_neural_tube,0,9,20,460.5,562.5,4.5,3.3166247903554,20,459.5,559.5,3.5
membrane_neural_tube,1,10,14,900.5,11.5,3.5,1.0,15,901.5,11.5,3.5
membrane_neural_tube,1,11,19,339.5,634.5,3.5,2.23606797749979,20,340.5,636.5,3.5
membrane_neural_tube,0,12,17,177.5,527.5,3.5,1.0,17,177.5,526.5,3.5
membrane_neural_tube,1,13,17,523.5,683.5,3.5,1.0,18,523.5,684.5,3.5
membrane_neural_tube,0,14,11,533.5,409.5,3.5,1.4142135623730951,11,532.5,410.5,3.5
membrane_neural_tube,0,15,20,78.5,465.5,3.5,3.605551275463989,20,75.5,463.5,3.5
membrane_neural_tube,0,16,7,851.5,402.5,3.5,1.0,7,850.5,402.5,3.5
membrane_neural_tube,1,17,4,978.5,62.5,3.5,2.0,5,980.5,62.5,3.5
membrane_neural_tube,1,18,8,535.5,82.5,4.5,1.4142135623730951,9,535.5,83.5,3.5
membrane_neural_tube,0,19,15,262.5,435.5,3.5,1.0,15,262.5,436.5,3.5
membrane_neural_tube,0,20,4,320.5,625.5,4.5,1.7320508075688772,4,321.5,624.5,3.5
membrane_neural_tube,0,21,13,425.5,649.5,3.5,1.0,13,425.5,648.5,3.5
membrane_neural_tube,0,22,16,565.5,183.5,3.5,2.23606797749979,16,567.5,182.5,3.5
membrane_neural_tube,0,23,17,970.5,598.5,3.5,1.4142135623730951,17,971.5,597.5,3.5
membrane_neural_tube,0,24,19,399.5,549.5,3.5,2.8284271247461903,19,397.5,547.5,3.5
membrane_neural_tube,1,25,18,668.5,578.5,3.5,2.23606797749979,19,670.5,577.5,3.5
membrane_neural_tube,0,26,6,234.5,706.5,3.5,2.23606797749979,6,235.5,704.5,3.5
membrane_neural_tube,0,27,12,931.5,279.5,4.5,1.7320508075688772,12,932.5,278.5,3.5
membrane_neural_tube,1,28,19,968.5,359.5,3.5,4.123105625617661,20,964.5,360.5,3.5
membrane_neural_tube,1,29,13,560.5,36.5,4.5,1.4142135623730951,14,560.5,35.5,3.5
membrane_neural_tube,0,30,11,690.5,70.5,3.5,1.4142135623730951,11,689.5,71.5,3.5
membrane_neural_tube,0,31,11,408.5,315.5,3.5,2.23606797749979,11,409.5,313.5,3.5
membrane_neural_tube,0,32,2,288.5,132.5,3.5,2.0,2,288.5,130.5,3.5
membrane_neural_tube,0,33,4,238.5,402.5,3.5,1.4142135623730951,4,239.5,403.5,3.5
membrane_neural_tube,0,34,16,700.5,417.5,3.5,1.4142135623730951,16,699.5,418.5,3.5
membrane_neural_tube,0,35,8,832.5,438.5,3.5,3.0,8,835.5,438.5,3.5
membrane_neural_tube,1,36,19,145.5,483.5,3.5,2.23606797749979,20,146.5,481.5,3.5
membrane_neural_tube,0,37,14,652.5,348.5,3.5,1.4142135623730951,14,653.5,349.5,3.5
membrane_neural_tube,0,38,16,51.5,788.5,3.5,2.8284271247461903,16,53.5,786.5,3.5
membrane_neural_tube,1,39,10,113.5,550.5,3.5,0.0,11,113.5,550.5,3.5
membrane_neural_tube,1,40,8,604.5,90.5,3.5,2.0,9,606.5,90.5,3.5
membrane_neural_tube,1,41,12,316.5,520.5,3.5,2.23606797749979,13,315.5,518.5,3.5
membrane_neural_tube,0,42,14,388.5,262.5,4.5,3.3166247903554,14,385.5,263.5,3.5
membrane_neural_tube,1,43,19,397.5,299.5,4.5,1.4142135623730951,20,397.5,300.5,3.5
membrane_neural_tube,0,44,12,215.5,409.5,3.5,1.4142135623730951,12,216.5,408.5,3.5
membrane_neural_tube,0,45,13,672.5,108.5,3.5,3.0,13,672.5,105.5,3.5
membrane_neural_tube,0,46,6,398.5,684.5,3.5,3.1622776601683795,6,399.5,687.5,3.5
membrane_neural_tube,0,47,15,242.5,100.5,3.5,3.0,15,244.5,102.5,4.5
membrane_neural_tube,1,48,8,727.5,528.5,3.5,2.23606797749979,9,729.5,529.5,3.5
membrane_neural_tube,0,49,4,82.5,216.5,3.5,1.4142135623730951,4,83.5,215.5,3.5
membrane_neural_tube,0,50,7,421.5,115.5,3.5,2.0,7,421.5,113.5,3.5
membrane_neural_tube,0,51,12,109.5,401.5,4.5,3.0,12,111.5,399.5,3.5
membrane_neural_tube,1,52,17,580.5,683.5,3.5,4.123105625617661,18,581.5,687.5,3.5
membrane_neural_tube,1,53,10,690.5,298.5,4.5,2.449489742783178,11,692.5,297.5,3.5
membrane_neural_tube,1,54,17,613.5,251.5,4.5,2.449489742783178,18,615.5,252.5,3.5
membrane_neural_tube,1,55,16,804.5,202.5,3.5,1.4142135623730951,17,805.5,201.5,3.5
membrane_neural_tube,0,56,12,719.5,710.5,3.5,2.23606797749979,12,718.5,712.5,3.5
membrane_neural_tube,0,57,19,26.5,477.5,3.5,3.0,19,26.5,480.5,3.5
membrane_neural_tube,0,58,15,1003.5,624.5,3.5,4.0,15,999.5,624.5,3.5
membrane_neural_tube,0,59,8,153.5,556.5,3.5,3.1622776601683795,8,156.5,556.5,4.5
membrane_neural_tube,0,60,11,344.5,477.5,3.5,3.1622776601683795,11,347.5,478.5,3.5
membrane_neural_tube,0,61,18,217.5,242.5,3.5,2.0,18,219.5,242.5,3.5
membrane_neural_tube,0,62,17,79.5,81.5,3.5,4.0,17,75.5,81.5,3.5
membrane_neural_tube,0,63,19,614.5,405.5,3.5,3.605551275463989,19,616.5,402.5,3.5
membrane_neural_tube,0,64,13,441.5,293.5,3.5,2.23606797749979,13,439.5,294.5,3.5
membrane_neural_tube,0,65,8,921.5,537.5,3.5,3.605551275463989,8,924.5,539.5,3.5
membrane_neural_tube,1,66,19,155.5,201.5,4.5,1.4142135623730951,20,155.5,202.5,3.5
membrane_neural_tube,0,67,7,32.5,348.5,4.5,2.23606797749979,7,34.5,348.5,3.5
membrane_neural_tube,1,68,15,356.5,240.5,3.5,3.0,16,359.5,240.5,3.5
membrane_neural_tube,0,69,11,170.5,619.5,3.5,3.1622776601683795,11,173.5,620.5,3.5
membrane_neural_tube,1,70,2,293.5,571.5,3.5,2.8284271247461903,3,291.5,569.5,3.5
membrane_neural_tube,0,71,18,721.5,341.5,3.5,4.0,18,725.5,341.5,3.5
membrane_neural_tube,0,72,18,484.5,112.5,4.5,4.242640687119285,18,485.5,108.5,3.5
membrane_neural_tube,0,73,18,348.5,199.5,4.5,3.7416573867739413,18,351.5,197.5,3.5
membrane_neural_tube,1,74,13,776.5,457.5,4.5,4.58257569495584,14,774.5,453.5,3.5
membrane_neural_tube,1,75,14,248.5,688.5,4.5,3.7416573867739413,15,245.5,690.5,3.5
membrane_neural_tube,1,76,2,973.5,544.5,3.5,2.0,3,973.5,542.5,3.5
membrane_neural_tube,0,77,6,738.5,37.5,4.5,4.242640687119285,6,734.5,36.5,3.5
membrane_neural_tube,1,78,7,899.5,376.5,3.5,3.0,8,902.5,376.5,3.5
membrane_neural_tube,0,79,11,586.5,236.5,3.5,3.605551275463989,11,589.5,238.5,3.5
membrane_neural_tube,1,80,9,823.5,659.5,3.5,5.0,10,826.5,655.5,3.5
membrane_neural_tube,0,81,5,320.5,716.5,3.5,4.47213595499958,5,324.5,714.5,3.5
membrane_neural_tube,0,82,5,697.5,249.5,3.5,4.123105625617661,5,698.5,245.5,3.5
membrane_neural_tube,0,83,19,436.5,189.5,3.5,5.0990195135927845,19,439.5,185.5,4.5
membrane_neural_tube,1,84,4,57.5,423.5,4.5,3.0,5,59.5,425.5,3.5
membrane_neural_tube,1,85,4,554.5,180.5,3.5,5.385164807134504,5,552.5,175.5,3.5
membrane_neural_tube,1,86,8,816.5,527.5,4.5,5.196152422706632,9,821.5,526.5,3.5
membrane_neural_tube,1,87,8,1000.5,472.5,3.5,5.0,9,997.5,476.5,3.5
membrane_neural_tube,0,88,2,441.5,820.5,4.5,4.123105625617661,2,441.5,816.5,3.5
membrane_neural_tube,1,89,4,627.5,509.5,4.5,5.0990195135927845,5,630.5,513.5,3.5
membrane_neural_tube,0,90,2,610.5,383.5,3.5,5.0,2,613.5,379.5,3.5
membrane_neural_tube,0,91,12,174.5,338.5,3.5,5.656854249492381,12,170.5,334.5,3.5
membrane_neural_tube,0,92,19,41.5,840.5,3.5,4.47213595499958,19,43.5,844.5,3.5
membrane_neural_tube,0,93,7,599.5,133.5,4.5,5.0,7,599.5,128.5,4.5
membrane_neural_tube,0,94,20,120.5,733.5,3.5,7.615773105863909,20,117.5,740.5,3.5
membrane_neural_tube,0,95,3,662.5,613.5,3.5,3.7416573867739413,3,660.5,610.5,4.5
membrane_neural_tube,0,96,14,58.5,140.5,4.5,4.58257569495584,14,60.5,136.5,3.5
membrane_neural_tube,0,97,3,913.5,44.5,4.5,5.0990195135927845,3,913.5,39.5,3.5
membrane_neural_tube,1,98,13,937.5,574.5,4.5,6.4031242374328485,14,939.5,580.5,3.5
membrane_neural_tube,0,99,16,526.5,150.5,3.5,5.830951894845301,16,529.5,145.5,3.5
membrane_neural_tube,0,100,6,190.5,746.5,4.5,5.196152422706632,6,191.5,741.5,3.5
membrane_neural_tube,0,101,4,735.5,403.5,4.5,5.0990195135927845,4,740.5,403.5,3.5
membrane_neural_tube,0,102,8,551.5,144.5,3.5,5.0990195135927845,8,556.5,145.5,3.5
membrane_neural_tube,1,103,3,884.5,269.5,4.5,6.48074069840786,4,889.5,265.5,3.5
membrane_neural_tube,0,104,6,930.5,7.5,4.5,7.211102550927978,6,934.5,13.5,4.5
membrane_neural_tube,1,105,19,10.5,512.5,3.5,5.385164807134504,20,5.5,510.5,3.5
membrane_neural_tube,0,106,10,514.5,653.5,3.5,6.082762530298219,10,515.5,659.5,3.5
membrane_neural_tube,1,107,14,322.5,287.5,4.5,8.06225774829855,15,314.5,287.5,3.5
membrane_neural_tube,0,108,15,33.5,395.5,3.5,7.280109889280518,15,26.5,393.5,3.5
membrane_neural_tube,1,109,18,444.5,133.5,3.5,7.211102550927978,19,448.5,127.5,3.5
membrane_neural_tube,0,110,9,194.5,205.5,3.5,6.082762530298219,9,195.5,199.5,3.5
membrane_neural_tube,0,111,13,657.5,392.5,3.5,7.615773105863909,13,650.5,389.5,3.5
membrane_neural_tube,0,112,3,652.5,7.5,3.5,7.810249675906654,3,658.5,12.5,3.5
membrane_neural_tube,0,113,15,70.5,253.5,3.5,7.0710678118654755,15,65.5,248.5,3.5
membrane_neural_tube,0,114,6,163.5,163.5,3.5,8.54400374531753,6,155.5,166.5,3.5
membrane_neural_tube,0,115,2,977.5,378.5,4.5,8.12403840463596,2,981.5,371.5,3.5
