case,dt,match_id,pred_t,pred_x,pred_y,pred_z,spatial_distance_voxels,true_t,true_x,true_y,true_z
nuclei_gastruloid,1,2,2,274.5,61.5,111.5,1.4142135623730951,3,273.5,61.5,110.5
nuclei_gastruloid,1,3,3,125.5,228.5,62.5,1.4142135623730951,4,125.5,227.5,61.5
nuclei_gastruloid,0,4,9,204.5,183.5,135.5,1.0,9,204.5,183.5,134.5
nuclei_gastruloid,0,5,9,248.5,113.5,63.5,2.449489742783178,9,249.5,114.5,61.5
nuclei_gastruloid,0,6,9,43.5,147.5,90.5,1.7320508075688772,9,42.5,146.5,91.5
nuclei_gastruloid,0,7,9,68.5,134.5,121.5,2.0,9,68.5,134.5,123.5
nuclei_gastruloid,0,8,9,229.5,104.5,152.5,1.7320508075688772,9,228.5,103.5,151.5
nuclei_gastruloid,0,9,9,242.5,229.5,73.5,2.8284271247461903,9,240.5,231.5,73.5
nuclei_gastruloid,0,10,9,241.5,50.5,117.5,3.0,9,242.5,48.5,115.5
nuclei_gastruloid,1,11,7,84.5,203.5,61.5,2.8284271247461903,8,86.5,203.5,59.5
nuclei_gastruloid,1,12,8,171.5,163.5,118.5,3.0,9,171.5,163.5,115.5
nuclei_gastruloid,0,13,9,265.5,72.5,133.5,3.0,9,263.5,71.5,131.5
nuclei_gastruloid,0,14,9,317.5,146.5,90.5,3.1622776601683795,9,316.5,146.5,87.5
nuclei_gastruloid,0,15,9,115.5,118.5,61.5,3.1622776601683795,9,115.5,117.5,58.5
nuclei_gastruloid,0,16,9,301.5,167.5,143.5,3.1622776601683795,9,300.5,167.5,140.5
nuclei_gastruloid,0,17,4,69.5,92.5,81.5,1.4142135623730951,4,68.5,91.5,81.5
nuclei_gastruloid,1,18,3,225.5,214.5,66.5,5.196152422706632,4,226.5,215.5,61.5
nuclei_gastruloid,0,19,2,97.5,131.5,84.5,1.0,2,96.5,131.5,84.5
nuclei_gastruloid,0,20,2,304.5,99.5,53.5,2.23606797749979,2,304.5,98.5,51.5
nuclei_gastruloid,0,21,3,271.5,208.5,61.5,1.0,3,271.5,208.5,60.5
nuclei_gastruloid,0,22,3,84.5,232.5,103.5,1.7320508075688772,3,83.5,233.5,102.5
nuclei_gastruloid,0,23,3,319.5,120.5,53.5,1.7320508075688772,3,318.5,119.5,52.5
nuclei_gastruloid,0,24,2,50.5,116.5,113.5,1.4142135623730951,2,49.5,116.5,112.5
nuclei_gastruloid,0,25,6,227.5,184.5,146.5,1.7320508075688772,6,226.5,183.5,147.5
nuclei_gastruloid,0,26,9,141.5,144.5,46.5,4.123105625617661,9,139.5,142.5,43.5
nuclei_gastruloid,0,27,8,309.5,78.5,136.5,2.23606797749979,8,311.5,79.5,136.5
nuclei_gastruloid,0,28,6,210.5,98.5,56.5,1.0,6,210.5,97.5,56.5
nuclei_gastruloid,0,29,2,164.5,146.5,137.5,3.0,2,166.5,145.5,135.5
nuclei_gastruloid,0,30,8,262.5,56.5,77.5,1.7320508075688772,8,261.5,55.5,76.5
nuclei_gastruloid,0,31,7,264.5,225.5,145.5,1.4142135623730951,7,264.5,226.5,144.5
nuclei_gastruloid,0,32,4,277.5,108.5,85.5,1.7320508075688772,4,276.5,107.5,84.5
nuclei_gastruloid,0,33,5,84.5,163.5,93.5,1.7320508075688772,5,83.5,164.5,92.5
nuclei_gastruloid,0,34,9,198.5,120.5,60.5,5.477225575051661,9,196.5,119.5,55.5
nuclei_gastruloid,0,35,2,139.5,247.5,103.5,3.3166247903554,2,138.5,248.5,100.5
nuclei_gastruloid,0,36,8,165.5,84.5,84.5,2.0,8,165.5,82.5,84.5
nuclei_gastruloid,1,37,4,281.5,82.5,120.5,3.3166247903554,5,280.5,83.5,117.5
nuclei_gastruloid,0,38,8,258.5,158.5,52.5,2.449489742783178,8,257.5,156.5,51.5
