interface,case,role,supplied_path,path_exists,accepted,resolved_path,checkpoint,finding
root_readme_layout,gastruloid,segmentation,DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b,True,True,,,documented <case>/weights layout
root_readme_layout,gastruloid,regression,DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b,True,True,,,documented <case>/weights layout
root_readme_layout,neural,segmentation,DARE3d_data_190326/Neural_tube_160226/weights/segmentation3d_new_set_og,False,False,,,documented <case>/weights layout is absent
root_readme_layout,neural,regression,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og,False,False,,,documented <case>/weights layout is absent
napari_headless_api,gastruloid,segmentation,DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b,True,True,DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b,DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b/checkpoints/last.ckpt,API resolves flat or runs/<date> model layouts
napari_headless_api,gastruloid,regression,DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b,True,True,DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b,DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/checkpoints/last.ckpt,API resolves flat or runs/<date> model layouts
napari_headless_api,neural,segmentation,DARE3d_data_190326/Neural_tube_160226/segmentation3d_new_set_og,True,True,DARE3d_data_190326/Neural_tube_160226/segmentation3d_new_set_og/runs/12-01-26,DARE3d_data_190326/Neural_tube_160226/segmentation3d_new_set_og/runs/12-01-26/checkpoints/last.ckpt,API resolves flat or runs/<date> model layouts
napari_headless_api,neural,regression,DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og,True,True,DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26,DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/checkpoints/last.ckpt,API resolves flat or runs/<date> model layouts
predict_cli_config_loader,gastruloid,segmentation,DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b,True,True,,DARE3d_data_190326/Gastruloid_241025/weights/segmentation3d_exp10-b/checkpoints/last.ckpt,direct .hydra/config.yaml + checkpoints/last.ckpt required
predict_cli_config_loader,gastruloid,regression,DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b,True,True,,DARE3d_data_190326/Gastruloid_241025/weights/regression3d_exp10-b/checkpoints/last.ckpt,direct .hydra/config.yaml + checkpoints/last.ckpt required
predict_cli_config_loader,neural,segmentation,DARE3d_data_190326/Neural_tube_160226/segmentation3d_new_set_og,True,False,,,ValueError: Could not find hydra config file path: C:\Users\ruppr\Documents\Codexsession\DARE3D_280826\DARE3d_data_190326\Neural_tube_160226\segmentation3d_new_set_og\.hydra\config.yaml
predict_cli_config_loader,neural,regression,DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og,True,False,,,ValueError: Could not find hydra config file path: C:\Users\ruppr\Documents\Codexsession\DARE3D_280826\DARE3d_data_190326\Neural_tube_160226\regression3d_new_set_og\.hydra\config.yaml
predict_cli_config_loader,neural,segmentation,DARE3d_data_190326/Neural_tube_160226/segmentation3d_new_set_og/runs/12-01-26,True,True,,DARE3d_data_190326/Neural_tube_160226/segmentation3d_new_set_og/runs/12-01-26/checkpoints/last.ckpt,direct .hydra/config.yaml + checkpoints/last.ckpt required
predict_cli_config_loader,neural,regression,DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26,True,True,,DARE3d_data_190326/Neural_tube_160226/regression3d_new_set_og/runs/12-01-26/checkpoints/last.ckpt,direct .hydra/config.yaml + checkpoints/last.ckpt required
prediction_notebook,gastruloid,demo_data,dare3d/demo_files,False,False,,,Executing the demo cell calls the separate package-local first-run downloader and does not reuse the verified repository-root bundle.
