count,fraction,lower_deg_inclusive,mode,n,record_type,scenario,scope,threshold_deg,upper_deg_exclusive
11,0.07051282051282051,0.0,156_unique_groundtruth_crops,156,histogram_bin,1_original_model_original_metric,controlled_unique_holdout,,5.0
22,0.14102564102564102,5.0,156_unique_groundtruth_crops,156,histogram_bin,1_original_model_original_metric,controlled_unique_holdout,,10.0
36,0.23076923076923078,10.0,156_unique_groundtruth_crops,156,histogram_bin,1_original_model_original_metric,controlled_unique_holdout,,15.0
24,0.15384615384615385,15.0,156_unique_groundtruth_crops,156,histogram_bin,1_original_model_original_metric,controlled_unique_holdout,,20.0
32,0.20512820512820512,20.0,156_unique_groundtruth_crops,156,histogram_bin,1_original_model_original_metric,controlled_unique_holdout,,30.0
15,0.09615384615384616,30.0,156_unique_groundtruth_crops,156,histogram_bin,1_original_model_original_metric,controlled_unique_holdout,,45.0
3,0.019230769230769232,45.0,156_unique_groundtruth_crops,156,histogram_bin,1_original_model_original_metric,controlled_unique_holdout,,60.0
5,0.03205128205128205,60.0,156_unique_groundtruth_crops,156,histogram_bin,1_original_model_original_metric,controlled_unique_holdout,,75.0
1,0.00641025641025641,75.0,156_unique_groundtruth_crops,156,histogram_bin,1_original_model_original_metric,controlled_unique_holdout,,90.000001
11,0.07051282051282051,,156_unique_groundtruth_crops,156,cdf_threshold,1_original_model_original_metric,controlled_unique_holdout,5,
33,0.21153846153846154,,156_unique_groundtruth_crops,156,cdf_threshold,1_original_model_original_metric,controlled_unique_holdout,10,
69,0.4423076923076923,,156_unique_groundtruth_crops,156,cdf_threshold,1_original_model_original_metric,controlled_unique_holdout,15,
93,0.5961538461538461,,156_unique_groundtruth_crops,156,cdf_threshold,1_original_model_original_metric,controlled_unique_holdout,20,
125,0.8012820512820513,,156_unique_groundtruth_crops,156,cdf_threshold,1_original_model_original_metric,controlled_unique_holdout,30,
140,0.8974358974358975,,156_unique_groundtruth_crops,156,cdf_threshold,1_original_model_original_metric,controlled_unique_holdout,45,
143,0.9166666666666666,,156_unique_groundtruth_crops,156,cdf_threshold,1_original_model_original_metric,controlled_unique_holdout,60,
149,0.9551282051282052,,156_unique_groundtruth_crops,156,cdf_threshold,1_original_model_original_metric,controlled_unique_holdout,90,
4,0.02857142857142857,0.0,all_groundtruth_centers,140,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,5.0
27,0.19285714285714287,5.0,all_groundtruth_centers,140,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,10.0
26,0.18571428571428572,10.0,all_groundtruth_centers,140,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,15.0
24,0.17142857142857143,15.0,all_groundtruth_centers,140,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,20.0
28,0.2,20.0,all_groundtruth_centers,140,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,30.0
15,0.10714285714285714,30.0,all_groundtruth_centers,140,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,45.0
7,0.05,45.0,all_groundtruth_centers,140,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,60.0
2,0.014285714285714285,60.0,all_groundtruth_centers,140,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,75.0
2,0.014285714285714285,75.0,all_groundtruth_centers,140,histogram_bin,1_original_model_original_metric,manuscript_frozen_centers,,90.000001
4,0.02857142857142857,,all_groundtruth_centers,140,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,5,
31,0.22142857142857142,,all_groundtruth_centers,140,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,10,
57,0.40714285714285714,,all_groundtruth_centers,140,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,15,
81,0.5785714285714286,,all_groundtruth_centers,140,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,20,
109,0.7785714285714286,,all_groundtruth_centers,140,cdf_threshold,1_original_model_original_metric,manuscript_frozen_centers,30,
