count,fraction,lower_deg_inclusive,mode,n,record_type,scenario,scope,threshold_deg,upper_deg_exclusive
0,0.0,0.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,5.0
0,0.0,5.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,10.0
0,0.0,10.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,15.0
2,0.025,15.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,20.0
4,0.05,20.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,30.0
10,0.125,30.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,45.0
15,0.1875,45.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,60.0
12,0.15,60.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,75.0
9,0.1125,75.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,90.0
8,0.1,90.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,120.0
13,0.1625,120.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,150.0
7,0.0875,150.0,80_unique_groundtruth_crops,80,histogram_bin,original_original,controlled,,180.000001
0,0.0,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,5,
0,0.0,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,10,
0,0.0,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,15,
2,0.025,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,20,
6,0.075,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,30,
16,0.2,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,45,
31,0.3875,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,60,
52,0.65,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,90,
60,0.75,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,120,
73,0.9125,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,150,
80,1.0,,80_unique_groundtruth_crops,80,cdf_threshold,original_original,controlled,180,
0,0.0,0.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,5.0
3,0.0375,5.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,10.0
3,0.0375,10.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,15.0
2,0.025,15.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,20.0
5,0.0625,20.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,30.0
14,0.175,30.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,45.0
18,0.225,45.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,60.0
15,0.1875,60.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,75.0
20,0.25,75.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,90.0
0,0.0,90.0,80_unique_groundtruth_crops,80,histogram_bin,original_corrected,controlled,,120.0
